Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGARIA ARAUJO S.A;AVENIDA SILVIANO BRANDAO 1682;HORTO;Belo Horizonte;MG;-19,9084249;-43,9136665;AVENIDA SILVIANO BRANDAO 1682, HORTO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A;BR-356 3049;BELVEDERE;Belo Horizonte;MG;-19,9779451;-43,9476492;BR-356 3049, BELVEDERE, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A;BRASIL 893;SANTA EFIGENIA;Belo Horizonte;MG;-19,9236416;-43,9211202;BRASIL 893, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A;JACUI 940;FLORESTA;Belo Horizonte;MG;-19,9075074;-43,9322657;JACUI 940, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A;RUA AUGUSTO DOS ANJOS, Nº 400 - LJ 06;VISCONDE DO RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;RUA AUGUSTO DOS ANJOS, Nº 400 - LJ 06, VISCONDE DO RIO BRANCO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A;RUA CONSELHEIRO LAFAIETE 748;FLORESTA;Belo Horizonte;MG;-19,911874;-43,9255785;RUA CONSELHEIRO LAFAIETE 748, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA ARAÚJO S.A;AVENIDA GETULIO VARGAS, 840;FUNCIONÁRIOS;Belo Horizonte;MG;-19,9322712;-43,924848;AVENIDA GETULIO VARGAS, 840, FUNCIONÁRIOS, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AV AMERICO VESPUCIO, 1271;APARECIDA;Belo Horizonte;MG;-19,8913875;-43,9571467;AV AMERICO VESPUCIO, 1271, APARECIDA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AV. AUGUSTO DE LIMA Nº744 LOJA 156;CENTRO;Belo Horizonte;MG;-19,9193308;-43,9403488;AV. AUGUSTO DE LIMA Nº744 LOJA 156, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AV. OLEGARIO MACIEL Nº1600 LOJA BG 14;LOURDES;Belo Horizonte;MG;-19,9315166;-43,943439;AV. OLEGARIO MACIEL Nº1600 LOJA BG 14, LOURDES, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA  PORTUGAL Nº2841;JARDIM ATLANTIDA;Belo Horizonte;MG;;;AVENIDA  PORTUGAL Nº2841, JARDIM ATLANTIDA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA ALFREDO CAMARATE, 533;São LUIZ;Belo Horizonte;MG;-19,8705456;-43,9762386;AVENIDA ALFREDO CAMARATE, 533, São LUIZ, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA AMAZONAS N.4746;NOVA SUISA;Belo Horizonte;MG;;;AVENIDA AMAZONAS N.4746, NOVA SUISA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA ANDRE CAVALCANTI 222;GUTIERREZ;Belo Horizonte;MG;-19,9396376;-43,9586691;AVENIDA ANDRE CAVALCANTI 222, GUTIERREZ, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA COTORNO, 4731;SERRA;Belo Horizonte;MG;-19,9405557;-43,918423;AVENIDA COTORNO, 4731, SERRA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA CRISTIANO MACHADO Nº4000 LOJA 411;UNIAO;Belo Horizonte;MG;-19,8809274;-43,9234575;AVENIDA CRISTIANO MACHADO Nº4000 LOJA 411, UNIAO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA DO CONTORNO N.6619;SANTO ANTONIO;Belo Horizonte;MG;-19,9433294;-43,9434203;AVENIDA DO CONTORNO N.6619, SANTO ANTONIO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA DOM PEDRO I, 402, LOJA 330;ITAPOA;Belo Horizonte;MG;-19,836413;-43,9598787;AVENIDA DOM PEDRO I, 402, LOJA 330, ITAPOA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA DOS ANDRADAS  N.3850;POMPEIA;Belo Horizonte;MG;-19,9131336;-43,902857;AVENIDA DOS ANDRADAS  N.3850, POMPEIA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA LUIZ PAULO FRANCO N.633;BELVERDE;Belo Horizonte;MG;;;AVENIDA LUIZ PAULO FRANCO N.633, BELVERDE, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PARANA Nº17;CENTRO;Belo Horizonte;MG;-19,9176696;-43,9418187;AVENIDA PARANA Nº17, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PEDRO I, 1680 LOJA B;ITAPOA;Belo Horizonte;MG;-19,836413;-43,9598787;AVENIDA PEDRO I, 1680 LOJA B, ITAPOA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PEDRO II 2856;CARLOS PRATES;Belo Horizonte;MG;-19,9107661;-43,9678974;AVENIDA PEDRO II 2856, CARLOS PRATES, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PRES. ANTONIO CARLOS, 7920 - 7924;SAO LUIZ;Belo Horizonte;MG;-19,856814;-43,9676434;AVENIDA PRES. ANTONIO CARLOS, 7920 - 7924, SAO LUIZ, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PROFESSOR MARIO WERNECK;ESTORIL;Belo Horizonte;MG;-19,9668128;-43,9591859;AVENIDA PROFESSOR MARIO WERNECK, ESTORIL, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA PRUDENTE DE MORAIS Nº1000;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;AVENIDA PRUDENTE DE MORAIS Nº1000, CIDADE JARDIM, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;AVENIDA RAJA GABAGLIA Nº4427;SANTA LUCIA;Belo Horizonte;MG;-19,9695483;-43,9543779;AVENIDA RAJA GABAGLIA Nº4427, SANTA LUCIA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;Praça DA BANDEIRA Nº 180;COMITECO;Belo Horizonte;MG;-19,9553562;-43,9215863;Praça DA BANDEIRA Nº 180, COMITECO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;Praça HUGO WERNECK , 455;SANTA EFIGENIA;Belo Horizonte;MG;-19,9245986;-43,927008;Praça HUGO WERNECK , 455, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA  DA BAHIA, Nº 1070;CENTRO;Belo Horizonte;MG;-19,9152382;-43,9347817;RUA  DA BAHIA, Nº 1070, CENTRO, Belo Horizonte, MG, Brasil
